Go	cond_01	cond_02	cond_03	StopSuccess	cond_05	cond_06	cond_07	cond_08	cond_09	cond_10	cond_11	cond_12	cond_13	cond_14	cond_15	cond_16	cond_17	cond_18	cond_19
0.0683209	-0.04932904	-0.01535175	-0.00441566	-0.06114236	0.004411161	-0.04786043	0.02792026	-0.00196592	0.00530409	-0.1822064	-4.118879	-0.1553856	-0.08269113	-0.03601918	0.008027153	0.1375345	-0.0008948519	-0.0004935302	0.0006180371
0.007504976	-0.08984723	-0.02069142	-0.0009883502	-0.05455476	0.006245312	0.008040503	0.09601563	0.008580686	0.005223745	-0.2528512	-5.710759	-0.1916354	-0.07730544	-0.0325571	0.01502943	0.1565032	-0.001945649	-0.0004957279	0.0006703351
-0.1105504	-0.04676999	-0.01733677	0.006741443	-0.04796262	0.005432828	0.1437337	0.06973519	0.008570787	-0.00334194	-0.2083423	-4.708168	-0.1747348	-0.05593137	-0.03513633	2.746004e-05	0.1436005	-0.0009977692	-0.0004989074	0.0007229385
-0.08403251	0.01356826	-0.007216917	0.004813261	-0.04301379	0.003704833	0.1474142	0.02410286	0.001986051	-0.006910041	1.646321	37.19492	1.529315	0.3804366	0.1082427	0.1190197	0.1198226	0.002948651	-0.001503066	-0.0002241773
-0.08167623	0.02021459	-0.007718817	0.02715588	-0.039888	0.002130147	0.1918519	0.02165591	-0.005140814	-0.01093984	2.125137	48.00943	1.896511	0.1068008	0.06357894	0.06900439	0.01916423	0.001893537	-0.001508133	-0.0001710111
-0.04188925	0.02571259	0.04708628	0.04227604	-0.03809508	0.001070696	0.19075	-0.05213716	-0.01976432	-0.006621676	0.2130987	4.810237	0.1398509	0.1231623	0.009871903	0.01098032	0.07062036	0.0008367851	-0.000514065	-0.0001175888
-0.02893442	0.02501816	0.0768237	0.0002194449	-0.03709195	0.0004734829	0.08759884	-0.0991733	-0.01821215	0.004642155	-0.2157909	-4.882593	-0.1726668	-0.07747491	0.01812009	0.04094502	0.1001867	0.0007782881	-0.000520816	-6.393605e-05
0.00933427	0.03741342	0.04751508	-0.03328014	-0.03649556	0.0001640679	-0.007834125	-0.07321079	-0.01031252	0.006832899	-0.1265353	-2.85815	-0.1180456	-0.05511356	-0.006679883	0.03189758	0.05886022	0.0007179382	-0.0005283409	-1.012912e-05
0.04669734	0.03444414	0.01025387	-0.02965497	-0.03611251	3.927404e-06	-0.05929974	-0.03525977	-0.004401938	0.004502959	0.1098543	2.47932	0.05070739	0.1082539	0.03247375	0.04483801	0.009637376	0.002655627	-0.0005365937	4.382825e-05
0.07865424	0.04113296	-0.01180375	-0.008456301	-0.0358372	-7.648357e-05	-0.07895979	-0.01072146	-0.001179461	0.002276315	0.278385	6.286975	0.1675999	0.04263002	0.04258033	0.006764008	-0.02548624	0.0005912439	-0.0005455284	9.790896e-05
